Coding_Scheme,Code_Value,Full_Name,Shortcode,Viewport,Unit,UCUM_Unit,CID_Source
LN,10127-9,ST wave mid displacement in lead V4,10127-9,,mV,,LOINC_db
LN,10128-7,ST wave mid displacement in lead V5,10128-7,,mV,,LOINC_db
LN,10129-5,ST wave mid displacement in lead V6,10129-5,,mV,,LOINC_db
LN,10130-3,T' wave amplitude in lead AVF,10130-3,,mV,,LOINC_db
LN,10131-1,T' wave amplitude in lead AVL,10131-1,,mV,,LOINC_db
LN,10132-9,T' wave amplitude in lead AVR,10132-9,,mV,,LOINC_db
LN,10133-7,T' wave amplitude in lead I,10133-7,,mV,,LOINC_db
LN,10134-5,T' wave amplitude in lead II,10134-5,,mV,,LOINC_db
LN,10135-2,T' wave amplitude in lead III,10135-2,,mV,,LOINC_db
LN,10136-0,T' wave amplitude in lead V1,10136-0,,mV,,LOINC_db
LN,101375-4,Troponin I.cardiac [Mass concentration difference] in Serum or Plasma by Calculation --2H post baseline measurement,101375-4,,ng/dl,,LOINC_db
LN,10137-8,T' wave amplitude in lead V2,10137-8,,mV,,LOINC_db
LN,10138-6,T' wave amplitude in lead V3,10138-6,,mV,,LOINC_db
LN,10139-4,T' wave amplitude in lead V4,10139-4,,nan,,LOINC_db
LN,10140-2,T' wave amplitude in lead V5,10140-2,,nan,,LOINC_db
LN,10141-0,T' wave amplitude in lead V6,10141-0,,mV,,LOINC_db
LN,10142-8,T wave amplitude in lead AVF,10142-8,,mV,,LOINC_db
LN,10143-6,T wave amplitude in lead AVL,10143-6,,mV,,LOINC_db
LN,10144-4,T wave amplitude in lead AVR,10144-4,,mV,,LOINC_db
LN,10145-1,T wave amplitude in lead I,10145-1,,mV,,LOINC_db
LN,10146-9,T wave amplitude in lead II,10146-9,,mV,,LOINC_db
LN,10147-7,T wave amplitude in lead III,10147-7,,mV,,LOINC_db
LN,10148-5,T wave amplitude in lead V1,10148-5,,mV,,LOINC_db
LN,10149-3,T wave amplitude in lead V2,10149-3,,mV,,LOINC_db
LN,10150-1,T wave amplitude in lead V3,10150-1,,mV,,LOINC_db
LN,10151-9,T wave amplitude in lead V4,10151-9,,nan,,LOINC_db
LN,10152-7,T wave amplitude in lead V5,10152-7,,nan,,LOINC_db
LN,10153-5,T wave amplitude in lead V6,10153-5,,mV,,LOINC_db
LN,101577-5,Cardioversion report Heart Document,101577-5,,nan,,LOINC_db
LN,101578-3,Cardiac device monitoring report,101578-3,,nan,,LOINC_db
LN,101579-1,Heart Multisection transthoracic limited by US,101579-1,,nan,,LOINC_db
LN,101580-9,US Heart Transthoracic limited for congenital disease,101580-9,,nan,,LOINC_db
LN,101581-7,US Heart Transthoracic for congenital disease,101581-7,,nan,,LOINC_db
LN,10168-3,History of Cardiovascular system disorders Narrative,10168-3,,nan,,LOINC_db
LN,101865-4,Troponin T. cardiac 2H and 6H 5th generation panel in Serum or Plasma by High sensitivity method,101865-4,,nan,,LOINC_db
LN,101896-9,Heart Failure+Transplant Cardiology Procedure Note,101896-9,,nan,,LOINC_db
LN,10200-4,Physical findings of Heart Narrative,10200-4,,nan,,LOINC_db
LN,102209-4,Cashew nut IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),102209-4,,nan,,LOINC_db
LN,10230-1,Left ventricular Ejection fraction,10230-1,,%,%,LOINC_db
LN,10231-9,Right ventricular Ejection fraction,10231-9,,%,%,LOINC_db
LN,10233-5,Oxygen content in Left atrium,10233-5,,mol/L,,LOINC_db
LN,10234-3,Oxygen content in Right atrium,10234-3,,mol/L,,LOINC_db
LN,10235-0,Oxygen content in High right atrium,10235-0,,mol/L,,LOINC_db
LN,10236-8,Oxygen content in Low right atrium,10236-8,,mol/L,,LOINC_db
LN,10237-6,Oxygen content in Mid right atrium,10237-6,,mol/L,,LOINC_db
LN,10238-4,Oxygen content in Left ventricle,10238-4,,mol/L,,LOINC_db
LN,10239-2,Oxygen content in Right ventricular outflow tract,10239-2,,mol/L,,LOINC_db
LN,10240-0,Oxygen content in Right ventricle,10240-0,,mol/L,,LOINC_db
LN,10249-1,Heart rate device Institution inventory number,10249-1,,nan,,LOINC_db
LN,10250-9,Heart rate device Vendor model number,10250-9,,nan,,LOINC_db
LN,10251-7,Heart rate device Vendor serial number,10251-7,,nan,,LOINC_db
LN,103115-2,Cashew nut recombinant (rAna o) 3 IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),103115-2,,nan,,LOINC_db
LN,103544-3,Clinical Cardiac Electrophysiology Surgical Operation Note,103544-3,,nan,,LOINC_db
LN,104145-8,Left ventricular Ejection fraction - upper limit by US.2D.A2C+Estimated,104145-8,,%,%,LOINC_db
LN,104146-6,Left ventricular Ejection fraction - upper limit by US.2D.A3C+Estimated,104146-6,,%,%,LOINC_db
LN,104147-4,Left ventricular Ejection fraction - upper limit by US.3D.A3C+Estimated,104147-4,,%,%,LOINC_db
LN,104148-2,Left ventricular Ejection fraction - upper limit by US.3D.A4C+Estimated,104148-2,,%,%,LOINC_db
LN,104149-0,Left ventricular Ejection fraction by US.2D.A2C+Calculated by biplane method,104149-0,,%,%,LOINC_db
LN,104150-8,Left ventricular Ejection fraction by US.2D.A3C+Calculated by biplane method,104150-8,,%,%,LOINC_db
LN,104151-6,Left ventricular Ejection fraction by US.2D.A4C+Calculed by biplane method,104151-6,,%,%,LOINC_db
